X1,X1,cluster,status
1690,1690,0,1
1692,1692,0,1
1694,1694,1,1
1695,1695,1,1
1696,1696,1,1
1697,1697,1,1
1698,1698,0,1
1699,1699,1,1
1700,1700,1,1
1701,1701,1,1
1702,1702,1,1
1703,1703,0,1
1704,1704,0,1
1705,1705,0,1
1708,1708,0,1
1709,1709,0,1
1712,1712,0,1
1713,1713,0,1
1715,1715,1,1
1716,1716,1,1
1717,1717,0,1
1719,1719,0,1
1723,1723,1,1
1724,1724,1,1
1725,1725,0,1
1726,1726,1,1
1727,1727,0,1
1728,1728,0,1
1729,1729,1,1
1731,1731,0,1
1732,1732,0,1
1735,1735,1,1
1736,1736,0,1
1737,1737,0,1
1738,1738,1,1
1739,1739,0,1
1740,1740,1,1
1742,1742,1,1
1743,1743,0,1
1744,1744,0,1
1745,1745,0,1
1747,1747,1,1
1748,1748,1,1
1749,1749,1,1
1750,1750,1,1
1751,1751,1,1
1755,1755,1,1
1757,1757,0,1
1758,1758,0,1
1760,1760,0,1
1761,1761,0,1
1762,1762,0,1
1763,1763,1,1
1765,1765,0,1
1766,1766,1,1
1767,1767,0,1
1768,1768,0,1
1769,1769,0,1
1770,1770,1,1
1771,1771,0,1
1772,1772,0,1
1773,1773,1,1
1774,1774,0,1
1776,1776,0,1
1777,1777,0,1
1779,1779,0,1
1780,1780,1,1
1782,1782,1,1
1784,1784,0,1
1786,1786,1,1
1787,1787,1,1
1788,1788,1,1
1789,1789,0,1
1790,1790,1,1
1791,1791,0,1
1792,1792,0,1
1793,1793,0,1
1794,1794,0,1
1795,1795,0,1
1797,1797,0,1
1798,1798,0,1
1799,1799,1,1
1800,1800,0,1
1803,1803,1,1
1805,1805,1,1
1807,1807,0,1
1808,1808,1,1
1810,1810,0,1
1811,1811,1,1
1812,1812,0,1
1815,1815,0,1
1816,1816,1,1
1817,1817,1,1
1819,1819,0,1
1820,1820,0,1
1821,1821,0,1
1822,1822,1,1
1823,1823,0,1
1824,1824,0,1
1826,1826,0,1
1827,1827,0,1
1829,1829,0,1
1831,1831,1,1
1833,1833,1,1
1834,1834,0,1
1835,1835,0,1
1836,1836,0,1
1839,1839,1,1
1841,1841,0,1
1842,1842,1,1
1844,1844,0,1
1846,1846,0,1
1847,1847,0,1
1848,1848,0,1
1849,1849,1,1
1851,1851,1,1
1852,1852,1,1
1853,1853,0,1
1855,1855,0,1
1856,1856,1,1
1857,1857,0,1
1858,1858,0,1
1860,1860,0,1
1861,1861,1,1
1864,1864,0,1
1865,1865,0,1
1867,1867,0,1
1869,1869,0,1
1870,1870,0,1
1871,1871,0,1
1872,1872,1,1
1873,1873,1,1
1875,1875,0,1
1876,1876,1,1
1877,1877,0,1
1880,1880,0,1
1881,1881,0,1
1884,1884,0,1
1885,1885,1,1
1886,1886,1,1
1887,1887,0,1
1888,1888,0,1
1891,1891,0,1
1892,1892,1,1
1894,1894,1,1
1895,1895,0,1
1897,1897,0,1
1898,1898,1,1
1899,1899,0,1
1901,1901,0,1
1902,1902,1,1
1903,1903,1,1
1904,1904,0,1
1905,1905,1,1
1907,1907,0,1
1908,1908,0,1
1911,1911,0,1
1913,1913,0,1
1915,1915,1,1
1918,1918,0,1
1919,1919,0,1
1920,1920,1,1
1921,1921,1,1
1922,1922,1,1
1923,1923,0,1
1924,1924,0,1
1925,1925,0,1
1927,1927,1,1
1928,1928,0,1
1930,1930,1,1
1934,1934,0,1
1937,1937,0,1
1939,1939,1,1
1940,1940,0,1
1942,1942,0,1
1945,1945,0,1
1947,1947,0,1
1948,1948,1,1
1949,1949,1,1
1950,1950,1,1
1952,1952,0,1
1953,1953,0,1
1954,1954,0,1
1955,1955,0,1
1956,1956,0,1
1957,1957,1,1
1958,1958,0,1
1961,1961,0,1
1962,1962,0,1
1963,1963,0,1
1968,1968,0,1
1970,1970,0,1
1971,1971,0,1
1973,1973,0,1
1974,1974,0,1
1975,1975,1,1
1976,1976,0,1
1977,1977,0,1
1978,1978,0,1
1982,1982,0,1
1986,1986,0,1
1987,1987,1,1
1988,1988,1,1
1991,1991,1,1
1994,1994,1,1
1995,1995,0,1
1996,1996,1,1
1998,1998,0,1
1999,1999,0,1
2001,2001,0,1
2002,2002,0,1
2003,2003,1,1
2006,2006,0,1
2014,2014,0,1
2017,2017,1,1
2018,2018,0,1
2021,2021,1,1
2024,2024,1,1
2026,2026,1,1
2027,2027,1,1
2028,2028,0,1
2031,2031,1,1
2032,2032,0,1
2033,2033,0,1
2037,2037,0,1
2039,2039,0,1
2040,2040,0,1
2042,2042,0,1
2043,2043,0,1
2044,2044,1,1
2045,2045,0,1
2049,2049,1,1
2051,2051,0,1
2055,2055,0,1
2056,2056,0,1
2057,2057,0,1
2058,2058,0,1
2059,2059,1,1
2061,2061,0,1
2062,2062,0,1
2063,2063,0,1
2064,2064,0,1
2066,2066,0,1
2067,2067,1,1
2069,2069,0,1
2074,2074,1,1
2076,2076,0,1
2077,2077,1,1
2079,2079,1,1
2082,2082,1,1
2083,2083,0,1
2089,2089,0,1
2091,2091,0,1
2092,2092,0,1
2093,2093,1,1
2096,2096,0,1
2097,2097,0,1
2108,2108,1,1
2110,2110,0,1
2111,2111,0,1
2112,2112,0,1
2113,2113,0,1
2118,2118,1,1
2119,2119,1,1
2120,2120,0,1
2123,2123,1,1
2128,2128,0,1
2129,2129,1,1
2131,2131,0,1
2133,2133,1,1
2136,2136,1,1
2138,2138,1,1
2141,2141,0,1
2142,2142,0,1
2144,2144,0,1
2145,2145,0,1
2146,2146,1,1
2148,2148,1,1
2151,2151,0,1
2152,2152,0,1
2153,2153,1,1
2154,2154,1,1
2156,2156,1,1
2158,2158,0,1
2159,2159,1,1
2162,2162,1,1
2167,2167,0,1
2168,2168,1,1
2169,2169,1,1
2171,2171,0,1
2172,2172,1,1
2175,2175,0,1
2178,2178,0,1
2180,2180,0,1
2181,2181,0,1
2183,2183,0,1
2187,2187,0,1
2189,2189,1,1
2191,2191,1,1
2192,2192,1,1
2193,2193,0,1
