X1,V1,V2,V3,V4,V5,V6,V8,V9,V12,V13,V15,V19,V20,V21,V22,V23,V25,V26,V27,status
7225,4.15,1.5,1.24,1.04,0.36,1.16,0.02,0.01,0.95,2.29,0.04,0,124,89,1,1962,78.48,-417.36043010752695,0.0127420998980632,0
7226,3.52,0.81,1.28,1.75,1.75,6.47,0.05,0.14,0.02,52.74,0.04,0,0,1,111,1961,78.44,-911.1026080246912,0.0,0
7227,5.27,0.0,1.19,1.19,1.19,3.8,0.07,0.43,0.01,98.88,0.03,0,0,0,0,1961,58.83,1.0,0.016998130205677375,0
7228,46.03,0.0,1.02,1.06,0.75,2.87,0.01,0.17,0.23,6.53,0.01,0,56,0,0,1960,19.6,1.0,0.0510204081632653,0
7229,9.25,0.59,1.11,0.98,0.96,0.92,0.03,0.07,0.09,35.58,0.05,0,2,83,93,1959,97.95,-6635.00076347534,0.010209290454313425,0
7230,2.1,0.0,1.48,0.47,0.47,0.67,0.04,0.04,0.08,13.48,0.04,0,0,0,0,1958,78.32000000000001,1.0,0.012768130745658834,0
7231,5.56,4.31,1.18,0.26,0.25,0.77,0.02,0.0,0.79,4.82,0.19,0,1,81,19,1958,372.02,-52.93609658264186,0.0026880275254018604,0
7232,1.12,0.0,1.9,3.42,3.03,1.73,0.02,0.03,0.04,44.52,0.04,0,22,32,95,1957,78.28,-1.0,0.012774655084312723,0
7233,1.25,0.3,1.8,2.02,1.58,1.58,0.02,0.03,0.3,8.88,0.06,0,43,50,95,1955,117.3,-1013.8333333333333,0.008525149190110827,0
7234,8.19,0.0,1.12,1.46,1.01,1.49,-0.05,-0.59,-0.33,1.9,0.03,1,63,0,132,1955,58.65,-1.0,0.017050298380221655,0
7235,1.23,0.01,1.82,1.96,0.61,10.59,0.12,0.14,0.01,154.31,0.03,0,51,34,14,1955,58.65,-49854.56615384615,0.0,0
7236,0.45,0.0,3.21,0.05,0.05,0.7,-0.04,-0.07,-0.17,8.63,0.51,1,0,0,0,1955,997.0500000000001,1.0,0.0010029587282483325,0
